name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Qazvin, Iran",2023-11-06,19.9,5,12.3,19.9,4.4,11.9,4.3,61.4,0,0,0,,0,0,13,11.2,73.7,1017.9,15.9,10.7,167,14.5,6,10,2023-11-06T06:37:22,2023-11-06T17:09:22,0.77,Clear,Clear conditions throughout the day.,clear-day,"40731099999,OIIK,remote"
"Qazvin, Iran",2023-11-07,24,6,14.3,24,6,14.2,3.3,51,0,0,0,,0,0,26.3,7.6,333.7,1017.6,4.1,11,166.4,14.4,6,10,2023-11-07T06:38:23,2023-11-07T17:08:28,0.81,Clear,Clear conditions throughout the day.,clear-day,"40731099999,OIIK"
"Qazvin, Iran",2023-11-08,19.9,5,11.8,19.9,4.3,11.7,4.9,65.4,0,0,0,,0,0,25.9,11.2,154,1022.6,7.6,10.6,163.7,14.3,6,10,2023-11-08T06:39:23,2023-11-08T17:07:34,0.84,Clear,Clear conditions throughout the day.,clear-day,"40731099999,OIIK"
"Qazvin, Iran",2023-11-09,20,5.9,12.7,20,5.9,12.6,4,57.6,0,0,0,,0,0,29.2,18.4,112.8,1023.5,13,9.6,162.8,14.2,6,10,2023-11-09T06:40:24,2023-11-09T17:06:43,0.87,Clear,Clear conditions throughout the day.,clear-day,"40731099999,OIIK"
"Qazvin, Iran",2023-11-10,22,7,13.5,22,6.7,13.4,2.9,51.7,0,0,0,,0,0,25.9,11.1,68.8,1022.7,76.3,10,140.5,12.1,6,10,2023-11-10T06:41:25,2023-11-10T17:05:53,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40731099999,OIIK"
"Qazvin, Iran",2023-11-11,21,4.9,13.3,21,4.9,13.2,3.7,54.2,0,0,0,,0,0,20.2,13.7,135,1025.9,54,10.8,155.5,13.4,6,10,2023-11-11T06:42:26,2023-11-11T17:05:05,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"40731099999,OIIK,remote"
"Qazvin, Iran",2023-11-12,20,7.9,14.2,20,7.9,14.2,3.1,48.1,0,0,0,,0,0,27.4,11.2,82.9,1025.7,58.9,10.5,155.1,13.4,6,10,2023-11-12T06:43:27,2023-11-12T17:04:18,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40731099999,OIIK"
"Qazvin, Iran",2023-11-13,22,7,13.8,22,6.7,13.7,1.7,45.3,0,0,0,,0,0,11.5,11.2,55.4,1023.8,79.4,10,124.8,10.8,5,10,2023-11-13T06:44:28,2023-11-13T17:03:33,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40731099999,OIIK"
"Qazvin, Iran",2023-11-14,21,7,13.7,21,5.6,13.5,0.8,42.5,0,0,0,,0,0,25.9,18.3,94,1020,13.5,8.3,155.3,13.4,6,10,2023-11-14T06:45:30,2023-11-14T17:02:49,0.03,Clear,Clear conditions throughout the day.,clear-day,"40731099999,OIIK"
"Qazvin, Iran",2023-11-15,18,9.9,14.4,18,8.4,14.2,1.5,42.3,0,0,0,,0,0,24.5,25.8,122.5,1017.6,76.8,9.3,128.5,11,6,10,2023-11-15T06:46:31,2023-11-15T17:02:08,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40731099999,OIIK,remote"
